,Neighborhood,Latitude,Longitude
0,Agincourt,43.788009,-79.283882
1,Ajax,43.8508553,-79.0203732
2,Alderwood,43.6017103,-79.5452384
3,Aurora,44.00648,-79.450396
4,Banbury-Don Mills,43.7491152,-79.3663593
5,Bathurst Manor,43.7628188,-79.4568978
6,Bedford Park-Nortown,43.7359139,-79.4225637
7,Beechborough-Greenbrook,43.6943212,-79.47479469999999
8,Bendale,43.765434,-79.248935
9,Birchcliffe-Cliffside,43.712217,-79.244001
10,Black Creek,43.6970148,-79.4869483
11,Bradford,43.748877,-79.477406
12,Brampton (East),43.7315479,-79.7624177
13,Brampton (West),43.7315479,-79.7624177
14,Briar Hill-Belgravia,43.70371360000001,-79.4524023
15,Broadview North,43.6885292,-79.3532778
16,Brookhaven-Amesbury,43.6969489,-79.49382899999999
17,Caledonia-Fairbank,43.6899015,-79.4551573
18,Churchill Meadows,43.65179819999999,-79.4236832
19,City Centre South,43.654262,-79.385975
20,Clairlea-Birchmount,43.7162053,-79.28284239999999
21,Clanton Park,43.74874630000001,-79.4466612
22,Clarkson,43.6974495,-79.4618188
23,Cliffcrest,43.724917,-79.22632899999999
24,Cooksville,43.5705788,-79.6109049
25,Crescent Town,43.6959813,-79.2937357
26,Danforth Village-East York,43.6891365,-79.2965535
27,Davenport,43.6732485,-79.42767719999999
28,Don Valley Village,43.787359,-79.353003
29,Dorset Park,43.7658308,-79.281111
30,Dovercourt,43.6658469,-79.4338188
31,Downsview,43.7266992,-79.4820609
32,Dufferin Grove,43.6558326,-79.4281914
33,East Gwillimbury,44.1010645,-79.4417811
34,Edenbridge-Humber Valley,43.667113,-79.527974
35,Eglinton East,43.7371449,-79.24622839999999
36,Englemount-Lawrence,43.718533,-79.4394459
37,Erin Mills,43.5586447,-79.7115912
38,Etobicoke West Mall,43.6451146,-79.56877279999999
39,Flemingdon Park,43.7183725,-79.3313903
40,Georgina,43.6841436,-79.3926433
41,Greenwood-Coxwell,43.6720554,-79.3228164
42,Halton Hills,43.5755498,-79.8301649
43,High Park-Swansea,43.6535556,-79.4652576
44,Humberlea,43.721319,-79.5332169
45,Ionview,43.730824,-79.2739
46,Islington,43.6309156,-79.5434841
47,Junction,43.6655088,-79.4721328
48,Keelesdale-Eglinton West,43.6854647,-79.470432
49,Kennedy Park,43.7248777,-79.2539764
50,King,43.64204050000001,-79.4119511
51,King West,43.64204050000001,-79.4119511
52,Kingsview Village-The Westway,43.7005039,-79.5519144
53,L'Amoreaux,43.7967612,-79.3157737
54,Lambton Baby Point,43.65604219999999,-79.4942916
55,Little Portugal,43.6475952,-79.430763
56,Long Branch,43.593421,-79.538164
57,Lorne Park,43.540199,-79.617851
58,Malton,43.7210303,-79.6419698
59,Malvern,43.80916,-79.22169
60,Maple Leaf,43.7148017,-79.47942859999999
61,Markham,43.8561002,-79.3370188
62,Milliken,43.8259985,-79.29731249999999
63,Milton,43.63565029999999,-79.5372999
64,Mimico,43.614627,-79.4956974
65,Mono,44.0465756,-80.0619667
66,Morningside,43.7826658,-79.20499699999999
67,Mount Olive-Silverstone-Jamestown,43.7411486,-79.5892382
68,New Tecumseth,44.1529303,-79.8685861
69,New Toronto,43.6007776,-79.505257
70,Newmarket,43.6895563,-79.30613079999999
71,O'Connor-Parkview,43.7060765,-79.3102072
72,Oakwood-Vaughan,43.6925935,-79.44078619999999
73,Old East York,43.692042,-79.33775159999999
74,Orangeville,43.9199788,-80.0943113
75,Parkwoods-Donalda,43.7527765,-79.32643999999999
76,Pelmo Park,43.721319,-79.5332169
77,Pickering,43.83841169999999,-79.0867579
78,Playter Estates-Danforth,43.68695169999999,-79.30734129999999
79,Pleasant View,43.78452679999999,-79.3333992
80,Port Credit,43.5516151,-79.585628
81,Rexdale-Kipling,43.7198568,-79.5705997
82,Richmond Hill,43.75574,-79.3569512
83,Riverdale,43.678985,-79.34491009999999
84,Rockcliffe-Smythe,43.6769062,-79.4893716
85,Roncesvalles,43.6463166,-79.4490678
86,Rustic,43.7107469,-79.4981948
87,Scarborough Village,43.7387924,-79.2170993
88,South Parkdale,43.643832,-79.442534
89,Steeles,43.8162137,-79.3145485
90,Stonegate-Queensway,43.627833,-79.4844499
91,Tam O'Shanter-Sullivan,43.7810585,-79.2981138
92,The Beaches,43.6673479,-79.29669299999999
93,Thistletown,43.73717449999999,-79.5652707
94,Thorncliffe Park,43.7074843,-79.34359669999999
95,Vaughan,43.8563158,-79.5085383
96,Victoria Village,43.7357352,-79.3124184
97,West Gwillimbury,44.114899,-79.5629529
98,West Hill,43.769163,-79.182803
99,West Humber-Clairville,43.7278527,-79.58769269999999
100,Weston,43.7001672,-79.5162643
101,Wexford-Maryvale,43.7612714,-79.30075430000001
102,Willowridge-Martingrove-Richview,43.6819269,-79.5665647
103,Woburn,43.7764702,-79.2317279
104,Woodbine Corridor,43.692177,-79.30993699999999
105,Woodbine-Lumsden,43.692177,-79.30993699999999
106,Wychwood,43.6779102,-79.4201015
107,York Mills,43.7492525,-79.3940946
108,Yorkdale-Glen Park,43.708236,-79.453975
