,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,
Agincourt/Malvern,,,1105,b,1316,a,1569,a,1341,a 
Ajax/Pickering,,,953,a,1248,a,1397,a,1283,a 
Alderwood,,,1169,c,1462,c,,,1435,c 
Aurora,,,1127,a,1347,a,,,1298,b 
Banbury-Don Mills/York Mills,,,1163,a,1335,b,1643,c,1286,b 
Bathurst Manor,,,1216,a,1346,a,1567,a,1342,a 
Bay Street Corridor,1615,a,2013,a,3114,d,,,2301,b 
Bayview Village,1072,a,1381,a,1671,a,,,1666,a 
Bayview Woods-Steeles/Hillcrest Village,,,1389,a,1609,b,1690,a,1580,a 
Bedford Park-Nortown,947,a,1125,a,1459,a,1912,c,1277,a 
Beechborough-Greenbrook,875,b,1022,b,1137,b,,,1081,b 
Bendale,1032,b,1070,a,1173,a,1362,b,1217,a 
Birchcliffe-Cliffside,943,a,1193,b,1424,b,,,1301,a 
Black Creek,1108,b,1145,a,1293,a,1449,a,1284,a 
Bradford/West Gwillimbury/New Tecumseth,951,c,977,a,1181,a,1436,b,1127,a 
Brampton (East),893,a,1240,a,1398,a,1498,a,1359,a 
Brampton (West),818,b,1111,a,1279,a,1577,b,1244,a 
Briar Hill-Belgravia,864,c,1138,b,1367,c,,,1238,c 
Broadview North,993,a,1205,a,1424,a,1714,c,1243,a 
Bronte,,,1356,a,1580,a,1832,c,1503,a 
Brookhaven-Amesbury,870,c,1062,a,1271,a,1515,a,1207,a 
Cabbagetown-South St. James Town,995,b,1397,b,1885,b,,,1419,b 
Caledon,,,,,,,,,,
Caledonia-Fairbank,882,c,1071,b,1389,c,,,1197,c 
Casa Loma,1181,b,1486,b,2096,d,3284,d,1838,c 
Churchill Meadows/Erin Mills,887,c,1121,a,1285,b,1774,a,1451,b 
Church-Yonge Corridor,1280,a,1597,a,2086,a,,,1617,a 
Clairlea-Birchmount,955,a,1056,a,1284,b,1517,b,1144,a 
Clanton Park,867,b,1080,a,1296,b,,,1172,b 
Clarkson/Lorne Park,980,a,1212,a,1304,a,1369,a,1275,a 
Cliffcrest,,,1160,a,1265,a,1424,b,1238,a 
Cooksville,869,b,1225,a,1414,a,1611,b,1329,a 
Crescent Town,878,a,1096,a,1341,a,1558,a,1179,a 
Danforth Village-East York,805,b,1080,b,1248,b,,,1126,b 
Don Valley Village/Pleasant View,988,a,1219,a,1384,a,1590,a,1392,a 
Dorset Park,889,c,1015,a,1139,a,1367,b,1131,a 
Dovercourt/Davenport/Junction,,,1024,d,1312,b,,,1196,c 
Downsview,876,a,1079,a,1266,a,1459,a,1212,a 
Dufferin Grove/Little Portugal,888,d,1239,d,,,,,1192,d 
East End-Danforth,988,a,1503,b,1738,b,,,1553,b 
East Gwillimbury/Newmarket,759,b,1161,b,1286,a,,,1198,b 
Edenbridge-Humber Valley,,,1189,b,1330,b,1832,c,1346,b 
Eglinton East,1109,a,1088,a,1227,a,1368,b,1209,a 
Elms-Old Rexdale,,,,,1305,a,1513,a,1352,a 
Englemount-Lawrence,998,b,1063,b,1320,b,1734,b,1300,b 
Eringate-Centennial-West Deane,,,,,,,,,,
Etobicoke West Mall,,,1161,a,1389,a,1593,a,1373,a 
Flemingdon Park,,,1145,a,1308,a,1496,b,1255,a 
Forest Hill North,1027,a,1280,a,1682,b,2233,c,1479,b 
Forest Hill South,1100,b,1339,b,1762,b,,,1435,b 
Georgina,,,830,a,1008,b,,,969,b 
Guildwood,,,,,,,1819,c,1430,c 
Henry Farm,,,1388,a,1716,b,1798,a,1625,a 
High Park North/Junction,1135,a,1459,a,1820,a,2467,d,1559,a 
High Park-Swansea,,,1216,a,1570,c,,,1302,c 
